Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Szegö, Frau Sophie",Szegö Sophie,Szegö,Sophie,Frau,
"Szelinska, Frau Johanna",Szelinska Johanna,Szelinska,Johanna,Frau,
"Szwykowska, Hedwig v",Szwykowska Hedwig,Szwykowska,Hedwig,,v
"Tabouillet, Mathilde Franziska von",Tabouillet Franziska Mathilde,Tabouillet,Franziska Mathilde,,von
"Taeger, J",Taeger J,Taeger,J,,
"Tafel, Emma",Tafel Emma,Tafel,Emma,,
"Tafel, Frl. Eugenie Johanna Elisabeth",Tafel Eugenie Elisabeth Johanna,Tafel,Eugenie Elisabeth Johanna,Frl.,
"Tagholm, Frl. A",Tagholm A,Tagholm,A,Frl.,
"Tamm, Charlotte",Tamm Charlotte,Tamm,Charlotte,,
"Tamms, M",Tamms M,Tamms,M,,
"Tannenbaum, Maria",Tannenbaum Maria,Tannenbaum,Maria,,
"Tannenwald-Fourneau, R. von",Tannenwald-Fourneau R.,Tannenwald-Fourneau,R.,,von
"Tánska-Hoffmann, Clementine",Tánska-Hoffmann Clementine,Tánska-Hoffmann,Clementine,,
"Taren, Peter",Taren Peter,Taren,Peter,,
"Tarnow, Fanny",Tarnow Fanny,Tarnow,Fanny,,
"Tarnow, Fanny",Tarnow Fanny,Tarnow,Fanny,,
"Tasche, Sophie",Tasche Sophie,Tasche,Sophie,,
"Taube, Helene Freifrau v",Taube Helene,Taube,Helene,Freifrau,v
"Täuber, Frl. Charlotte",Täuber Charlotte,Täuber,Charlotte,Frl.,
"Taubert, Agnes",Taubert Agnes,Taubert,Agnes,,
"Taubert, Marie",Taubert Marie,Taubert,Marie,,
"Tauffkirchen-Engelburg, Gräfin Franziska",Tauffkirchen-Engelburg Franziska,Tauffkirchen-Engelburg,Franziska,Gräfin,
"Tautphoeus, Jemima, Baronin",Tautphoeus Jemima,Tautphoeus,Jemima,Baronin,
Tavarnok,Tavarnok,Tavarnok,,,
"Taylor, Frau Marie",Taylor Marie,Taylor,Marie,Frau,
"Tecklenburg, Elise v",Tecklenburg Elise,Tecklenburg,Elise,,v
"Tegtmeyer, Emilie",Tegtmeyer Emilie,Tegtmeyer,Emilie,,
"Teichert, Frau Hedwig",Teichert Hedwig,Teichert,Hedwig,Frau,
"Teichmann, Anna",Teichmann Anna,Teichmann,Anna,,
"Teichmann, Frl. Lisbeth",Teichmann Lisbeth,Teichmann,Lisbeth,Frl.,
"Tellmar, M",Tellmar M,Tellmar,M,,
"Telmann, Hermine",Telmann Hermine,Telmann,Hermine,,
"Teltow, G",Teltow G,Teltow,G,,
"Tempelhoff, Frl. Henny v",Tempelhoff Henny,Tempelhoff,Henny,Frl.,v
"Tenger, Mariam",Tenger Mariam,Tenger,Mariam,,
"Terlago, Gräfin Josefine",Terlago Josefine,Terlago,Josefine,Gräfin,
"Tesche, Frl. Wilhelmine",Tesche Wilhelmine,Tesche,Wilhelmine,Frl.,
"Teschner, Auguste",Teschner Auguste,Teschner,Auguste,,
"Tesdorpf, Frau Luise",Tesdorpf Luise,Tesdorpf,Luise,Frau,
"Testa, Sylva",Testa Sylva,Testa,Sylva,,
"Tetzner, Frau Dr. Helene",Tetzner Helene,Tetzner,Helene,Frau Dr.,
Teutonicus,Teutonicus,Teutonicus,,,
"Teuscher, Marie Antonie",Teuscher Antonie Marie,Teuscher,Antonie Marie,,
"Thadden, Frl. Hildegard v",Thadden Hildegard,Thadden,Hildegard,Frl.,v
"Thaeter, Anna",Thaeter Anna,Thaeter,Anna,,
"Thal, Agnes",Thal Agnes,Thal,Agnes,,
"Thal, Antonie",Thal Antonie,Thal,Antonie,,
"Thal, Luise",Thal Luise,Thal,Luise,,
"Thalau, Marie",Thalau Marie,Thalau,Marie,,
"Thaleck, S. W",Thaleck W S.,Thaleck,W S.,,
"Thaler, Anna Antonia von",Thaler Anna Antonia,Thaler,Anna Antonia,,von
"Thaler, Frau Christine",Thaler Christine,Thaler,Christine,Frau,
"Thalheim, Frl. Louise",Thalheim Louise,Thalheim,Louise,Frl.,
"Theiss, Frl. Anna",Theiss Anna,Theiss,Anna,Frl.,
Thekla,Thekla,Thekla,,,
"The Losen, Frl. Anna",The Losen Anna,The Losen,Anna,Frl.,
"Themer, Gisela",Themer Gisela,Themer,Gisela,,
"Thenen, Frau Dela",Thenen Dela,Thenen,Dela,Frau,
"Thenen, Frau Julie",Thenen Julie,Thenen,Julie,Frau,
"Therese, Prinzessin von Bayern",Therese,,Therese,Prinzessin von Bayern,von
"Theumann, Frl. Clara",Theumann Clara,Theumann,Clara,Frl.,
"Thévenot, Frl. Caroline",Thévenot Caroline,Thévenot,Caroline,Frl.,
"Thiel, Frl. Julie",Thiel Julie,Thiel,Julie,Frl.,
"Thiel, Julie",Thiel Julie,Thiel,Julie,,
"Thielau, Antoinette Wilh. von",Thielau Antoinette Wilh.,Thielau,Antoinette Wilh.,,von
"Thiele, Alma",Thiele Alma,Thiele,Alma,,
"Thiele, Clara Maria",Thiele Clara Maria,Thiele,Clara Maria,,
"Thiele, Frau Luise",Thiele Luise,Thiele,Luise,Frau,
"Thiele-Lundershausen, Emma",Thiele-Lundershausen Emma,Thiele-Lundershausen,Emma,,
"Thielen, Klara",Thielen Klara,Thielen,Klara,,
"Thieme, C",Thieme C,Thieme,C,,
"Thieme, Hulda",Thieme Hulda,Thieme,Hulda,,
"Thies, Frl. Ida",Thies Ida,Thies,Ida,Frl.,
"Thiesen, Charlotte",Thiesen Charlotte,Thiesen,Charlotte,,
"Thildner, Hildegard",Thildner Hildegard,Thildner,Hildegard,,
"Thilenius, Klara",Thilenius Klara,Thilenius,Klara,,
"Thilo, Frl. Amalie",Thilo Amalie,Thilo,Amalie,Frl.,
"Thilo, Dr. Maria v",Thilo Maria,Thilo,Maria,Dr.,v
"Thilo-Naschér, Frau Friederike",Thilo-Naschér Friederike,Thilo-Naschér,Friederike,Frau,
"Thimm, Frau Johanna",Thimm Johanna,Thimm,Johanna,Frau,
"Thirnau, Erna v",Thirnau Erna,Thirnau,Erna,,v
"Thomas, Frl. Bertha",Thomas Bertha,Thomas,Bertha,Frl.,
"Thomas, Frl. S",Thomas S,Thomas,S,Frl.,
"Thompson, Luise",Thompson Luise,Thompson,Luise,,
"Thompson, M",Thompson M,Thompson,M,,
"Thonner, Therese",Thonner Therese,Thonner,Therese,,
"Thormölen, Lehrerin Emma",Thormölen Emma,Thormölen,Emma,Lehrerin,
"Thorne, Dora",Thorne Dora,Thorne,Dora,,
"Thron, Frau Louise F. v",Thron F. Louise,Thron,F. Louise,Frau,v
"Thümler, Frau Direktor Elise",Thümler Elise,Thümler,Elise,Frau Direktor,
"Thun-Hohenstein, Gräfin Christiane",Thun-Hohenstein Christiane,Thun-Hohenstein,Christiane,Gräfin,
Thure und Diewenow,Thure und Diewenow,Thure und Diewenow,,,
"Thurm, Selma",Thurm Selma,Thurm,Selma,,
"Thurnberg, Marie von",Thurnberg Marie,Thurnberg,Marie,,von
Tian,Tian,Tian,,,
"Tiburtius, Franziska Dr. med",Tiburtius Franziska,Tiburtius,Franziska,Dr. med,
"Tieck, Dorothea",Tieck Dorothea,Tieck,Dorothea,,
"Tiedemann, Frl. Helene",Tiedemann Helene,Tiedemann,Helene,Frl.,
"Tiedemann, Ottilie",Tiedemann Ottilie,Tiedemann,Ottilie,,
"Tiefenborn, Irma von",Tiefenborn Irma,Tiefenborn,Irma,,von
"Tille (Cronheim), Frau Alice",Tille Alice,Tille,Alice,Frau,(Cronheim)
"Timme, Frl. Agnes",Timme Agnes,Timme,Agnes,Frl.,
"Timme, Frau Marie",Timme Marie,Timme,Marie,Frau,
"Timpe, Amalie",Timpe Amalie,Timpe,Amalie,,
"Tipka, Luise",Tipka Luise,Tipka,Luise,,
"Tippel, Frau Hedwig",Tippel Hedwig,Tippel,Hedwig,Frau,
"Tischer, Frau Sophie",Tischer Sophie,Tischer,Sophie,Frau,
"Titelius, M",Titelius M,Titelius,M,,
"Tittmann, Frl. Anna",Tittmann Anna,Tittmann,Anna,Frl.,
"Tittmann, Clara",Tittmann Clara,Tittmann,Clara,,
"Tittmann, C. E",Tittmann E C.,Tittmann,E C.,,
"Tittmann, Louise",Tittmann Louise,Tittmann,Louise,,
"Titus, Johanna",Titus Johanna,Titus,Johanna,,
"Titzenhofer, Sophie Eleonore Helene v",Titzenhofer Sophie Eleonore Helene,Titzenhofer,Sophie Eleonore Helene,,v
"Tobien, Marie",Tobien Marie,Tobien,Marie,,
"Todenwarth, Stiftsdame Lydia v",Todenwarth Lydia,Todenwarth,Lydia,Stiftsdame,v
"Todtenhaupt, Luise",Todtenhaupt Luise,Todtenhaupt,Luise,,
"Toeplitz, Martha",Toeplitz Martha,Toeplitz,Martha,,
"Tollmann, Clara",Tollmann Clara,Tollmann,Clara,,
"Tomasini-Grunowski, Frau Antonie",Tomasini-Grunowski Antonie,Tomasini-Grunowski,Antonie,Frau,
"Töppe, Adolphine",Töppe Adolphine,Töppe,Adolphine,,
"Torma, Frl. Sophie von",Torma Sophie,Torma,Sophie,Frl.,von
"Torrund, Jassy",Torrund Jassy,Torrund,Jassy,,
"Tour, Emil de la",Tour Emil,Tour,Emil,,de la
"Towska, Kory",Towska Kory,Towska,Kory,,
"Träd, Arda",Träd Arda,Träd,Arda,,
"Traugott, Emma",Traugott Emma,Traugott,Emma,,
"Traut, Sophie",Traut Sophie,Traut,Sophie,,
"Trautenheim, E",Trautenheim E,Trautenheim,E,,
"Trebitsch, Frl. Adele",Trebitsch Adele,Trebitsch,Adele,Frl.,
"Trefft, Mathilde",Trefft Mathilde,Trefft,Mathilde,,
"Treichel, Anna",Treichel Anna,Treichel,Anna,,
"Trenkler-Sieber, Frau Elisabeth",Trenkler-Sieber Elisabeth,Trenkler-Sieber,Elisabeth,Frau,
"Tresckow, Frau Anny von",Tresckow Anny,Tresckow,Anny,Frau,von
"Tresenreuter, Sophie v",Tresenreuter Sophie,Tresenreuter,Sophie,,v
"Treskow, Ada v",Treskow Ada,Treskow,Ada,,v
"Treu, Alix",Treu Alix,Treu,Alix,,
"Treu, Eva",Treu Eva,Treu,Eva,,
"Treu, Margarete",Treu Margarete,Treu,Margarete,,
"Treu, Mila",Treu Mila,Treu,Mila,,
"Treudank, Th",Treudank Th,Treudank,Th,,
"Treuenfels, Anna",Treuenfels Anna,Treuenfels,Anna,,
"Treuter, Frl. Marie",Treuter Marie,Treuter,Marie,Frl.,
"Treutler, Frl. Klara Elisabeth",Treutler Klara Elisabeth,Treutler,Klara Elisabeth,Frl.,
"Trieb, Magdalena",Trieb Magdalena,Trieb,Magdalena,,
"Triepel, Frl. Gertrud",Triepel Gertrud,Triepel,Gertrud,Frl.,
"Trinks, Thekla",Trinks Thekla,Trinks,Thekla,,
"Trippmacher, Frl. Elisabeth",Trippmacher Elisabeth,Trippmacher,Elisabeth,Frl.,
"Triwald, Gabriele",Triwald Gabriele,Triwald,Gabriele,,
"Trockau, Freiin Auguste Gross von",Trockau Gross Auguste,Trockau,Gross Auguste,Freiin,von
"Troll-Borostyáni, Frau Irma v",Troll-Borostyáni Irma,Troll-Borostyáni,Irma,Frau,v
"Troll, Max",Troll Max,Troll,Max,,
"Trommershausen, Frau Marie",Trommershausen Marie,Trommershausen,Marie,Frau,
"Troschel, Clara",Troschel Clara,Troschel,Clara,,
"Troy, Rose d",Troy Rose d,Troy,Rose d,,
"Truberg, Emma",Truberg Emma,Truberg,Emma,,
"Trudel, Dorothea",Trudel Dorothea,Trudel,Dorothea,,
"Truxa, Frau Celestina",Truxa Celestina,Truxa,Celestina,Frau,
"Trystedt, A. v",Trystedt A.,Trystedt,A.,,v
"Tschapeck, Lydia",Tschapeck Lydia,Tschapeck,Lydia,,
"Tschirch, Emilie",Tschirch Emilie,Tschirch,Emilie,,
"Tuerk, Frau Oberstabsarzt",Tuerk Oberstabsarzt,Tuerk,Oberstabsarzt,Frau,
"Tuhten, Frau Anna",Tuhten Anna,Tuhten,Anna,Frau,
"Tümpling, Frl. Kathinka v",Tümpling Kathinka,Tümpling,Kathinka,Frl.,v
"Turnau, Ottilie",Turnau Ottilie,Turnau,Ottilie,,
"Twardowska, Frl. Emma Eva Henriette von",Twardowska Eva Henriette Emma,Twardowska,Eva Henriette Emma,Frl.,von
"Twerdi, Julia v",Twerdi Julia,Twerdi,Julia,,v
"Tyrol, Marie",Tyrol Marie,Tyrol,Marie,,
"Uedinck, Frl. Anna",Uedinck Anna,Uedinck,Anna,Frl.,
"Ufer, Frau Cäcilie",Ufer Cäcilie,Ufer,Cäcilie,Frau,
"Uhland, Emilie",Uhland Emilie,Uhland,Emilie,,
"Uhlich, Clara",Uhlich Clara,Uhlich,Clara,,
"Uhrlaub, Lilli",Uhrlaub Lilli,Uhrlaub,Lilli,,
"Uhse, Frau Marie",Uhse Marie,Uhse,Marie,Frau,
"Ullik, Frl. Julie",Ullik Julie,Ullik,Julie,Frl.,
"Ullmann, Amanda",Ullmann Amanda,Ullmann,Amanda,,
"Ullmann, Kath. Dorothee",Ullmann Kath. Dorothee,Ullmann,Kath. Dorothee,,
"Ullrich, Hermine",Ullrich Hermine,Ullrich,Hermine,,
"Ulmann, Frl. Paula",Ulmann Paula,Ulmann,Paula,Frl.,
"Ulmann, Frau Regine",Ulmann Regine,Ulmann,Regine,Frau,
"Ulrich, Frau Alida von",Ulrich Alida,Ulrich,Alida,Frau,von
"Ulrich, Otto",Ulrich Otto,Ulrich,Otto,,
"Ulrici, Clara",Ulrici Clara,Ulrici,Clara,,
"Unertl, Frau Auguste",Unertl Auguste,Unertl,Auguste,Frau,
"Unger, Fried. Helene",Unger Fried. Helene,Unger,Fried. Helene,,
"Unzer, Johanna Charlotte",Unzer Johanna Charlotte,Unzer,Johanna Charlotte,,
"Urban, W",Urban W,Urban,W,,
"Urbani, August",Urbani August,Urbani,August,,
"Urbantschitsch, Frl. Minna",Urbantschitsch Minna,Urbantschitsch,Minna,Frl.,
"Ute, Frau",Ute,Ute,,Frau,
"Uthe-Spazier, Joh. Car. Wilhelmine",Uthe-Spazier Wilhelmine Car. Joh.,Uthe-Spazier,Wilhelmine Car. Joh.,,
"Uthke, Sigismunde Ernestine Kunigunde",Uthke Ernestine Kunigunde Sigismunde,Uthke,Ernestine Kunigunde Sigismunde,,
"Uttech, Marie",Uttech Marie,Uttech,Marie,,
"Uttech, Pauline",Uttech Pauline,Uttech,Pauline,,
"Vagt, Frl. Lina",Vagt Lina,Vagt,Lina,Frl.,
"Valentin, Vict",Valentin Vict,Valentin,Vict,,
"Valentiner, Dorothea",Valentiner Dorothea,Valentiner,Dorothea,,
"Valeria, Elisabeth",Valeria Elisabeth,Valeria,Elisabeth,,
"Valerie, Maria Theresia",Valerie Theresia Maria,Valerie,Theresia Maria,,
"Valerois, Magdelena",Valerois Magdelena,Valerois,Magdelena,,
"Valett, Frau Bertha",Valett Bertha,Valett,Bertha,Frau,
"Valetti, Leon",Valetti Leon,Valetti,Leon,,
"Vandersee, Leon",Vandersee Leon,Vandersee,Leon,,
"Varnhagen von Ense, Rahel",Varnhagen von Ense Rahel,Varnhagen von Ense,Rahel,,
"Varnhagen, Frau Helene",Varnhagen Helene,Varnhagen,Helene,Frau,
"Vasconcellos, Frau Caroline Michaëlis de",Vasconcellos Michaëlis Caroline,Vasconcellos,Michaëlis Caroline,Frau,de
"Vaselli, Marie",Vaselli Marie,Vaselli,Marie,,
"Vay, Frau Baronin Adelma v",Vay Adelma,Vay,Adelma,Frau Baronin,v
"Veil, Frl. Auguste",Veil Auguste,Veil,Auguste,Frl.,
"Veillodter, Juliane Marie Charl",Veillodter Charl Juliane Marie,Veillodter,Charl Juliane Marie,,
"Velde, Bertha van der",Velde Bertha,Velde,Bertha,,van der
"Veldenz, A",Veldenz A,Veldenz,A,,
"Veldenz, A",Veldenz A,Veldenz,A,,
"Velten, Erna",Velten Erna,Velten,Erna,,
"Velten, Helene v",Velten Helene,Velten,Helene,,v
"Vely, Emma",Vely Emma,Vely,Emma,,
"Vely, Emma",Vely Emma,Vely,Emma,,
"Vely, Lolo",Vely Lolo,Vely,Lolo,,
"Ven, E",Ven E,Ven,E,,
"Veneta, Mathilde",Veneta Mathilde,Veneta,Mathilde,,
"Venetianer, Theodor",Venetianer Theodor,Venetianer,Theodor,,
"Vera, Franz",Vera Franz,Vera,Franz,,
"Verbeck, O",Verbeck O,Verbeck,O,,
"Verena, Sophie",Verena Sophie,Verena,Sophie,,
"Verry, Charlotte",Verry Charlotte,Verry,Charlotte,,
"Versing-Hauptmann, Anna",Versing-Hauptmann Anna,Versing-Hauptmann,Anna,,
"Vestvali, Felicita v",Vestvali Felicita,Vestvali,Felicita,,v
"Vetter, Cäcilie",Vetter Cäcilie,Vetter,Cäcilie,,
"Vèze, Julie de",Vèze Julie de,Vèze,Julie de,,
"Vidal, Frz",Vidal Frz,Vidal,Frz,,
"Viebig, Clara",Viebig Clara,Viebig,Clara,,
"Vielrogge, A. v",Vielrogge A.,Vielrogge,A.,,v
"Vietinghoff, Baronin Lilly v",Vietinghoff Lilly,Vietinghoff,Lilly,Baronin,v
"Vietor, Julie",Vietor Julie,Vietor,Julie,,
"Vilmar, Emma",Vilmar Emma,Vilmar,Emma,,
"Villinger, Frl. Hermine",Villinger Hermine,Villinger,Hermine,Frl.,
"Vincent, Frau Laura",Vincent Laura,Vincent,Laura,Frau,
"Viot, Maria Anna Henr",Viot Anna Maria Henr,Viot,Anna Maria Henr,,
"Vitzthum, Marianne v",Vitzthum Marianne,Vitzthum,Marianne,,v
"Vivenot, Annette Edle v",Vivenot Annette,Vivenot,Annette,Edle,v
"Voelker, Dorothea",Voelker Dorothea,Voelker,Dorothea,,
"Vogel, Anna",Vogel Anna,Vogel,Anna,,
"Vogel, Babette",Vogel Babette,Vogel,Babette,,
"Vogel, Bertha",Vogel Bertha,Vogel,Bertha,,
"Vogel vom Spielberg, A",Vogel vom Spielberg A,Vogel vom Spielberg,A,,
"Vogeler, Frau",Vogeler,Vogeler,,Frau,
"Vogelsang, Karoline Freiin von",Vogelsang Karoline,Vogelsang,Karoline,Freiin,von
"Vogt, Johanna Wilh. Jul. von",Vogt Wilh. Johanna Jul.,Vogt,Wilh. Johanna Jul.,,von
"Vogt, Marie Louise",Vogt Marie Louise,Vogt,Marie Louise,,
"Vogt, Minna",Vogt Minna,Vogt,Minna,,
"Voigt, Amalie v",Voigt Amalie,Voigt,Amalie,,v
"Voigt, Elise",Voigt Elise,Voigt,Elise,,
"Voigt, Elise u. A. Steinkamp",Voigt A. u. Steinkamp Elise,Voigt,A. u. Steinkamp Elise,,
"Voigt, Elise u. J. Trojan",Voigt J. Trojan u. Elise,Voigt,J. Trojan u. Elise,,
"Voigt, Helene",Voigt Helene,Voigt,Helene,,
"Voigt, Henriette",Voigt Henriette,Voigt,Henriette,,
"Voigt, Frau Johanna",Voigt Johanna,Voigt,Johanna,Frau,
"Voigt, Frau Laura",Voigt Laura,Voigt,Laura,Frau,
"Voigt, Luise",Voigt Luise,Voigt,Luise,,
"Voigtel-Bolgiani, Valesca",Voigtel-Bolgiani Valesca,Voigtel-Bolgiani,Valesca,,
"Völckel, Margarete",Völckel Margarete,Völckel,Margarete,,
"Volckhausen, Julie Adeline",Volckhausen Julie Adeline,Volckhausen,Julie Adeline,,
"Volckmann, Anna Helene",Volckmann Anna Helene,Volckmann,Anna Helene,,
"Volckmann, Frl. Ida",Volckmann Ida,Volckmann,Ida,Frl.,
"Volger, Frau Anna",Volger Anna,Volger,Anna,Frau,
"Volkert, Otto",Volkert Otto,Volkert,Otto,,
"Vollbrecht, C",Vollbrecht C,Vollbrecht,C,,
"Vollhardt-Wittich, Frau Margarete",Vollhardt-Wittich Margarete,Vollhardt-Wittich,Margarete,Frau,
"Vollmar, Agnes",Vollmar Agnes,Vollmar,Agnes,,
"Vollmar, Agnes",Vollmar Agnes,Vollmar,Agnes,,
"Vollmar, Agnes",Vollmar Agnes,Vollmar,Agnes,,
"Vollmar, Helene",Vollmar Helene,Vollmar,Helene,,
"Vollmöller, Dora",Vollmöller Dora,Vollmöller,Dora,,
"Vom Hof, Frl. Nanny",Vom Hof Nanny,Vom Hof,Nanny,Frl.,
"Vonderwied, L",Vonderwied L,Vonderwied,L,,
"Vörkelius, Louise",Vörkelius Louise,Vörkelius,Louise,,
"Vortmann, Frau Thusnelde",Vortmann Thusnelde,Vortmann,Thusnelde,Frau,
"Voshage, Adele",Voshage Adele,Voshage,Adele,,
"Voss, Clara",Voss Clara,Voss,Clara,,
"Voss, Elisabeth",Voss Elisabeth,Voss,Elisabeth,,
"Voss, Ernestine",Voss Ernestine,Voss,Ernestine,,
"Voss, Ernestine",Voss Ernestine,Voss,Ernestine,,
"Voss, Käthe",Voss Käthe,Voss,Käthe,,
"Voss, Sophie Marie, Gräfin von",Voss Sophie Marie,Voss,Sophie Marie,Gräfin,von
"Vossmann, Frau Ludmilla",Vossmann Ludmilla,Vossmann,Ludmilla,Frau,
"Vukomanovics, Frau Wilhelmine",Vukomanovics Wilhelmine,Vukomanovics,Wilhelmine,Frau,
"Waagen, Clara",Waagen Clara,Waagen,Clara,,
"Waagen, Luise",Waagen Luise,Waagen,Luise,,
"Waare, Rick",Waare Rick,Waare,Rick,,
"Wachler, Auguste",Wachler Auguste,Wachler,Auguste,,
"Wachner, Frl. H",Wachner H,Wachner,H,Frl.,
"Wachsmuth, Bertha",Wachsmuth Bertha,Wachsmuth,Bertha,,
"Wachsmuth, Frau Helene",Wachsmuth Helene,Wachsmuth,Helene,Frau,
"Wächter, Bertha",Wächter Bertha,Wächter,Bertha,,
"Wächter, Henriette v",Wächter Henriette,Wächter,Henriette,,v
"Wacker, Frau Karola",Wacker Karola,Wacker,Karola,Frau,
"Wackerhagen, Emma",Wackerhagen Emma,Wackerhagen,Emma,,
"Wagelinck, H",Wagelinck H,Wagelinck,H,,
"Wagenaar-Humelinck, Henrike",Wagenaar-Humelinck Henrike,Wagenaar-Humelinck,Henrike,,
"Wagener, Clem",Wagener Clem,Wagener,Clem,,
"Wagener, Mathilde",Wagener Mathilde,Wagener,Mathilde,,
"Wagner, Charlotte",Wagner Charlotte,Wagner,Charlotte,,
"Wagner, Charlotte",Wagner Charlotte,Wagner,Charlotte,,
"Wagner, Christiane Sophie",Wagner Sophie Christiane,Wagner,Sophie Christiane,,
"Wagner, Emma",Wagner Emma,Wagner,Emma,,
"Wagner, Frau Helene",Wagner Helene,Wagner,Helene,Frau,
"Wahl, Sophie Helmine",Wahl Sophie Helmine,Wahl,Sophie Helmine,,
"Wahle, Maria",Wahle Maria,Wahle,Maria,,
"Wahlenberg, Anna",Wahlenberg Anna,Wahlenberg,Anna,,
"Wahlheim, E",Wahlheim E,Wahlheim,E,,
"Wahrmund, Frl. Auguste",Wahrmund Auguste,Wahrmund,Auguste,Frl.,
"Walcker, Mathilde",Walcker Mathilde,Walcker,Mathilde,,
"Wald, D",Wald D,Wald,D,,
"Wald, Ella",Wald Ella,Wald,Ella,,
"Wald, Julie",Wald Julie,Wald,Julie,,
"Wald, Frau Toni",Wald Toni,Wald,Toni,Frau,
"Waldau, C",Waldau C,Waldau,C,,
"Waldau, Minna",Waldau Minna,Waldau,Minna,,
"Waldbach, Erika",Waldbach Erika,Waldbach,Erika,,
"Waldburg, S",Waldburg S,Waldburg,S,,
"Waldburg-Syrgenstein, Gräfin Sophie",Waldburg-Syrgenstein Sophie,Waldburg-Syrgenstein,Sophie,Gräfin,
"Walde, M. vom",Walde M.,Walde,M.,,vom
"Waldemar, H",Waldemar H,Waldemar,H,,
"Waldemar, H",Waldemar H,Waldemar,H,,
"Waldemar, M",Waldemar M,Waldemar,M,,
"Walden, Adèle",Walden Adèle,Walden,Adèle,,
"Walden, Frau Gertrud",Walden Gertrud,Walden,Gertrud,Frau,
"Walden, Marie",Walden Marie,Walden,Marie,,
"Walden, S. J. F",Walden J. F S.,Walden,J. F S.,,
"Waldenburg, Matthilde v",Waldenburg Matthilde,Waldenburg,Matthilde,,v
"Waldhauser, Anna",Waldhauser Anna,Waldhauser,Anna,,
"Waldheim, C. v",Waldheim C.,Waldheim,C.,,v
"Waldheim, Sybille von",Waldheim Sybille,Waldheim,Sybille,,von
"Waldner, Dorothea",Waldner Dorothea,Waldner,Dorothea,,
"Waldner, Minna",Waldner Minna,Waldner,Minna,,
"Waldow, B",Waldow B,Waldow,B,,
"Waldow, Ernst von",Waldow Ernst,Waldow,Ernst,,von
"Waldow, Ernst von",Waldow Ernst,Waldow,Ernst,,von
"Waldow, Marie v",Waldow Marie,Waldow,Marie,,v
"Waldtraut, Else",Waldtraut Else,Waldtraut,Else,,
"Walheim, Sophie",Walheim Sophie,Walheim,Sophie,,
"Walkenried, Alma von",Walkenried Alma,Walkenried,Alma,,von
"Wall, Mary M. u. Jenny Hirsch",Wall Mary M. Jenny u. Hirsch,Wall,Mary M. Jenny u. Hirsch,,
"Wallenburg, Gräfin Amalie von",Wallenburg Amalie,Wallenburg,Amalie,Gräfin,von
"Wallenheim, Ludowike",Wallenheim Ludowike,Wallenheim,Ludowike,,
"Wallenrodt, Joh. Isabelle Eleonore von",Wallenrodt Joh. Isabelle Eleonore,Wallenrodt,Joh. Isabelle Eleonore,,von
"Walling, Mathilde",Walling Mathilde,Walling,Mathilde,,
"Wallot, Hedwig u. Eleonore",Wallot Eleonore u. Hedwig,Wallot,Eleonore u. Hedwig,,
"Wallraff, Helena",Wallraff Helena,Wallraff,Helena,,
"Walter, Franziska",Walter Franziska,Walter,Franziska,,
"Walter, Hertha",Walter Hertha,Walter,Hertha,,
"Walter, Karoline",Walter Karoline,Walter,Karoline,,
"Walter, Frl. Marie",Walter Marie,Walter,Marie,Frl.,
"Walters, Amy v",Walters Amy,Walters,Amy,,v
"Walterstein, Frau Clara",Walterstein Clara,Walterstein,Clara,Frau,
"Walterstorff, Charlotte v",Walterstorff Charlotte,Walterstorff,Charlotte,,v
"Walther, H",Walther H,Walther,H,,
"Walther, Frau Lina",Walther Lina,Walther,Lina,Frau,
"Walther, Lina",Walther Lina,Walther,Lina,,
"Wandres, Miss",Wandres Miss,Wandres,Miss,,
"Wangemann, Clementine",Wangemann Clementine,Wangemann,Clementine,,
"Warburg, Emilie von",Warburg Emilie,Warburg,Emilie,,von
"Ward, Mrs. Marschall",Ward Marschall Mrs.,Ward,Marschall Mrs.,,
"Warendorf, Therese",Warendorf Therese,Warendorf,Therese,,
Warnatz-Duroy,Warnatz-Duroy,Warnatz-Duroy,,,
"Warnatz, Mathias",Warnatz Mathias,Warnatz,Mathias,,
"Warncke, Elisabeth",Warncke Elisabeth,Warncke,Elisabeth,,
"Warnecke, Cäcilie",Warnecke Cäcilie,Warnecke,Cäcilie,,
"Warner, Susan",Warner Susan,Warner,Susan,,
"Warnow, E",Warnow E,Warnow,E,,
"Warnsdorff, L. v",Warnsdorff L.,Warnsdorff,L.,,v
"Warrens, Rosa",Warrens Rosa,Warrens,Rosa,,
"Wartenberg, Frl. Adelheid von",Wartenberg Adelheid,Wartenberg,Adelheid,Frl.,von
"Wartensleben, Charlotte Wilhelmine Isabelle, Gräfin v",Wartensleben Gräfin v,Wartensleben,Gräfin v,,
"Waser, Frl. Dr. Hedwig",Waser Hedwig,Waser,Hedwig,Dr. Frl.,
"Waser, Hermine",Waser Hermine,Waser,Hermine,,
"Wasmer, Frl. Eliese v",Wasmer Eliese,Wasmer,Eliese,Frl.,v
"Wasserburg, Frl. Franziska",Wasserburg Franziska,Wasserburg,Franziska,Frl.,
"Wasserburger, Frau Lina",Wasserburger Lina,Wasserburger,Lina,Frau,
"Wasservogel, Irenäus",Wasservogel Irenäus,Wasservogel,Irenäus,,
"Wauer, Minna",Wauer Minna,Wauer,Minna,,
"Weber, A",Weber A,Weber,A,,
