Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Goetzenberger, Frau Marie Amélie",Goetzenberger,Marie Amélie,Frau,,Goetzenberger Marie Amélie
"Goetzendorff-Grabowski, Helene v",Goetzendorff-Grabowski,Helene,,v,Goetzendorff-Grabowski Helene
"Gogarten, Frl. Arete",Gogarten,Arete,Frl.,,Gogarten Arete
"Göhler, Frau Martha",Göhler,Martha,Frau,,Göhler Martha
"Goldegg, Itha Maria von und zu",Goldegg,Maria Itha,,von und zu,Goldegg Maria Itha
"Goldschmidt, Frau Henriette",Goldschmidt,Henriette,Frau,,Goldschmidt Henriette
"Goldschmidt, Henriette",Goldschmidt,Henriette,,,Goldschmidt Henriette
"Goldschmidt, Johanna",Goldschmidt,Johanna,,,Goldschmidt Johanna
"Goldschmidt, Frl. Olga",Goldschmidt,Olga,Frl.,,Goldschmidt Olga
"Goldschmidt, Thora",Goldschmidt,Thora,,,Goldschmidt Thora
"Goldsmith, Sophie",Goldsmith,Sophie,,,Goldsmith Sophie
"Goldstein, Augusta Fr. v",Goldstein,Augusta Fr.,,v,Goldstein Augusta Fr.
"Goldstein, Clara Maria Aurora, Freiin v",Goldstein,Clara Maria Aurora,Freiin,v,Goldstein Clara Maria Aurora
"Goldstein, Frl. Frida",Goldstein,Frida,Frl.,,Goldstein Frida
"Gölling, Anna Elise",Gölling,Elise Anna,,,Gölling Elise Anna
"Göllner, Luise",Göllner,Luise,,,Göllner Luise
"Göllnitz, Elis",Göllnitz,Elis,,,Göllnitz Elis
"Goltz, Frau Geheimrat A. v. der",Goltz,A.,Frau der Geheimrat,v. der,Goltz A.
"Goltz, Fritz v. der",Goltz,Fritz,,v. der,Goltz Fritz
"Goltze, Frl. Marie",Goltze,Marie,Frl.,,Goltze Marie
"Gommert, Marie",Gommert,Marie,,,Gommert Marie
"Gonzenbach, Laura",Gonzenbach,Laura,,,Gonzenbach Laura
"Göpel, Karoline",Göpel,Karoline,,,Göpel Karoline
"Görde, A",Görde,A,,,Görde A
"Gordon, Frau Emy",Gordon,Emy,Frau,,Gordon Emy
"Gordon, Marie",Gordon,Marie,,,Gordon Marie
"Gorges, Frau Clara",Gorges,Clara,Frau,,Gorges Clara
"Görner, Frau Anna Nora v",Görner,Anna Nora,Frau,v,Görner Anna Nora
"Gosche, Frl. Lucy Vescina",Gosche,Vescina Lucy,Frl.,,Gosche Vescina Lucy
"Göschen, Luise von",Göschen,Luise,,von,Göschen Luise
"Göschke, Anna",Göschke,Anna,,,Göschke Anna
"Gosseck, Herm",Gosseck,Herm,,,Gosseck Herm
"Gossmann, Elisabeth Johanna",Gossmann,Johanna Elisabeth,,,Gossmann Johanna Elisabeth
"Gossmann, Frau Minna",Gossmann,Minna,Frau,,Gossmann Minna
"Gossmann, F",Gossmann,F,,,Gossmann F
"Goethe, Ottilie von",Goethe,Ottilie,,von,Goethe Ottilie
"Gothein, Frau Professor Marie",Gothein,Marie,Frau Professor,,Gothein Marie
"Götz, Lisette",Götz,Lisette,,,Götz Lisette
"Gottberg, Frau Adelaide v",Gottberg,Adelaide,Frau,v,Gottberg Adelaide
"Gottberg, Anna von",Gottberg,Anna,,von,Gottberg Anna
"Gotthardt, Natalie",Gotthardt,Natalie,,,Gotthardt Natalie
"Gotthelf, Frau Henriette",Gotthelf,Henriette,Frau,,Gotthelf Henriette
"Gottschalk, Fernande",Gottschalk,Fernande,,,Gottschalk Fernande
"Gottschall, M. von",Gottschall,M.,,von,Gottschall M.
"Gottsched, Luise Adelgunde Viktoria",Gottsched,Viktoria Adelgunde Luise,,,Gottsched Viktoria Adelgunde Luise
"Götze, Fried. Pauline",Götze,Fried. Pauline,,,Götze Fried. Pauline
"Götzenberger, Amelie",Götzenberger,Amelie,,,Götzenberger Amelie
"Goupy, Frau Hortense de",Goupy,Hortense,Frau,de,Goupy Hortense
"Gouraud, Julie",Gouraud,Julie,,,Gouraud Julie
"Grabbé, Hrt",Grabbé,Hrt,,,Grabbé Hrt
"Grabi, Frau Magdalene",Grabi,Magdalene,Frau,,Grabi Magdalene
"Grabowska, Thekla",Grabowska,Thekla,,,Grabowska Thekla
"Grad, Max",Grad,Max,,,Grad Max
"Gradenwitz, Clara",Gradenwitz,Clara,,,Gradenwitz Clara
"Graf, Frau Antonie",Graf,Antonie,Frau,,Graf Antonie
"Graf, Emilie",Graf,Emilie,,,Graf Emilie
"Graf-Bartholomew, Mary",Graf-Bartholomew,Mary,,,Graf-Bartholomew Mary
"Grail, Elise",Grail,Elise,,,Grail Elise
"Grametke, Henriette",Grametke,Henriette,,,Grametke Henriette
"Grande, Natalie la",Grande,Natalie la,,,Grande Natalie la
"Grans, Charlotte Elise Agnes",Grans,Charlotte Agnes Elise,,,Grans Charlotte Agnes Elise
"Grashey, Anna",Grashey,Anna,,,Grashey Anna
"Grass, Ida",Grass,Ida,,,Grass Ida
"Grasshoff, Frl. Marie",Grasshoff,Marie,Frl.,,Grasshoff Marie
"Grau, Frl. Josephine",Grau,Josephine,Frl.,,Grau Josephine
"Grauenhorst, Frau Erna",Grauenhorst,Erna,Frau,,Grauenhorst Erna
"Grave, Agnes le",Grave,Agnes le,,,Grave Agnes le
"Gravell, Charlotte",Gravell,Charlotte,,,Gravell Charlotte
"Gravenreuth, Charlotte Baronin v",Gravenreuth,Charlotte,Baronin,v,Gravenreuth Charlotte
"Gravière, Caroline",Gravière,Caroline,,,Gravière Caroline
"Gray, Charlotte A",Gray,Charlotte A,,,Gray Charlotte A
"Grazie, Maria Eugenia delle",Grazie,Eugenia Maria,,delle,Grazie Eugenia Maria
"Grebitz, Caroline Eleonore",Grebitz,Caroline Eleonore,,,Grebitz Caroline Eleonore
"Gregor, Elli u. Johanna von Sydow",Gregor,Johanna u. Elli,,von Sydow,Gregor Johanna u. Elli
"Gregorius, Johanne Elisabeth",Gregorius,Johanne Elisabeth,,,Gregorius Johanne Elisabeth
"Greie, Johanna, Elizabeth",Greie,Elizabeth,,,Greie Elizabeth
"Greif, M",Greif,M,,,Greif M
"Greif, M",Greif,M,,,Greif M
"Greiffenberg, Katharina, Freifrau v",Greiffenberg,Katharina,Freifrau,v,Greiffenberg Katharina
"Greiner, Christine",Greiner,Christine,,,Greiner Christine
"Greiner, Frau Emeline",Greiner,Emeline,Frau,,Greiner Emeline
"Greverus, Renate",Greverus,Renate,,,Greverus Renate
"Grey-Stipek, Frau Valerie",Grey-Stipek,Valerie,Frau,,Grey-Stipek Valerie
"Greyerz, Frl. Lina von",Greyerz,Lina,Frl.,von,Greyerz Lina
"Griebel, Frl. Lucy",Griebel,Lucy,Frl.,,Griebel Lucy
"Griebel, Frl. Minna",Griebel,Minna,Frl.,,Griebel Minna
"Grieben, Frl. Ferdinande",Grieben,Ferdinande,Frl.,,Grieben Ferdinande
"Griessler, Agnes",Griessler,Agnes,,,Griessler Agnes
"Grimm, Charlotte",Grimm,Charlotte,,,Grimm Charlotte
"Grimm, Emilie u. Emma Laddey",Grimm,Emma u. Laddey Emilie,,,Grimm Emma u. Laddey Emilie
"Grimm, Gisela",Grimm,Gisela,,,Grimm Gisela
"Grimm, Frau Marie",Grimm,Marie,Frau,,Grimm Marie
"Grineau, Joseph",Grineau,Joseph,,,Grineau Joseph
"Groag, Carola",Groag,Carola,,,Groag Carola
"Gröben, Gräfin Elisabeth",Gröben,Elisabeth,Gräfin,,Gröben Elisabeth
"Gröben, Gräfin, Ida v. der",Gröben,Ida,Gräfin,v. der,Gröben Ida
"Gröben, Gräfin L",Gröben,L,Gräfin,,Gröben L
"Gröbner-Friedl, Ottilie",Gröbner-Friedl,Ottilie,,,Gröbner-Friedl Ottilie
"Groeger, Frl. Fanny",Groeger,Fanny,Frl.,,Groeger Fanny
"Grohe, Karoline",Grohe,Karoline,,,Grohe Karoline
"Gröhe, Frau Theresa",Gröhe,Theresa,Frau,,Gröhe Theresa
"Grohn, Lehrerin Elise",Grohn,Elise,Lehrerin,,Grohn Elise
"Grönau, Isidore",Grönau,Isidore,,,Grönau Isidore
"Groner, Frau Auguste",Groner,Auguste,Frau,,Groner Auguste
"Groner, Auguste",Groner,Auguste,,,Groner Auguste
"Gröning, Frl. Anna",Gröning,Anna,Frl.,,Gröning Anna
"Groningen, Frau Rosa van",Groningen,Rosa,Frau,van,Groningen Rosa
"Grosmann, Hedwig",Grosmann,Hedwig,,,Grosmann Hedwig
"Gross, Freifrau v",Gross,,Freifrau,v,Gross 
"Gross, Cary",Gross,Cary,,,Gross Cary
"Gross v. Trockau, Freiin Auguste v",Gross v. Trockau,Auguste,Freiin,v,Gross v. Trockau Auguste
"Grossmann, Adelaide v",Grossmann,Adelaide,,v,Grossmann Adelaide
"Grossmann, Julie v",Grossmann,Julie,,v,Grossmann Julie
"Grosschmid, Marie v",Grosschmid,Marie,,v,Grosschmid Marie
Grossmutter in Thüringen,Grossmutter in Thüringen,,,,Grossmutter in Thüringen 
"Groth, Frau Franziska",Groth,Franziska,Frau,,Groth Franziska
"Grotthuss, Elise Freiin von",Grotthuss,Elise,Freiin,von,Grotthuss Elise
"Grotthuss, Elise Freiin v",Grotthuss,Elise,Freiin,v,Grotthuss Elise
"Grube, Elisab",Grube,Elisab,,,Grube Elisab
"Gruben, Frl. Lina von",Gruben,Lina,Frl.,von,Gruben Lina
"Gruber, Charlotte v",Gruber,Charlotte,,v,Gruber Charlotte
"Grumbach, L. von",Grumbach,L.,,von,Grumbach L.
"Grün, Frl. von",Grün,,Frl.,von,Grün 
"Grundemann, Emma Helene",Grundemann,Emma Helene,,,Grundemann Emma Helene
"Gründler, Frau Adele",Gründler,Adele,Frau,,Gründler Adele
"Gründler, Charl",Gründler,Charl,,,Gründler Charl
"Grund, Martin im",Grund,Martin,,im,Grund Martin
"Grundschöttel, Marie",Grundschöttel,Marie,,,Grundschöttel Marie
"Gruner, Clara v",Gruner,Clara,,v,Gruner Clara
"Grünewald, Henriette",Grünewald,Henriette,,,Grünewald Henriette
"Grünwald-Zerkowitz, Frau Sidonie",Grünwald-Zerkowitz,Sidonie,Frau,,Grünwald-Zerkowitz Sidonie
"Grünzweig, Edle v. Eichensieg, Amalie",Grünzweig,Amalie,,v.,Grünzweig Amalie
"Gruss, Ida",Gruss,Ida,,,Gruss Ida
"Gschwind, Frau",Gschwind,,Frau,,Gschwind 
"Gudden, Sophie",Gudden,Sophie,,,Gudden Sophie
"Guhl, Frau Irma",Guhl,Irma,Frau,,Guhl Irma
"Guilleaume-Schack, Frau Gertrud",Guilleaume-Schack,Gertrud,Frau,,Guilleaume-Schack Gertrud
"Guinness, M. Geraldine",Guinness,Geraldine M.,,,Guinness Geraldine M.
"Guischard, Wilhelmine Constanze",Guischard,Wilhelmine Constanze,,,Guischard Wilhelmine Constanze
"Guischard, Wilhelmine",Guischard,Wilhelmine,,,Guischard Wilhelmine
"Gumpert, Thekla v",Gumpert,Thekla,,v,Gumpert Thekla
"Gumpert, Thekla",Gumpert,Thekla,,,Gumpert Thekla
"Gumpinger, Frida",Gumpinger,Frida,,,Gumpinger Frida
"Gumprich, Frau Josephine",Gumprich,Josephine,Frau,,Gumprich Josephine
"Günderode, Karoline, Reichsfreiin von",Günderode,Karoline,Reichsfreiin,von,Günderode Karoline
"Günther-Brauer, Frau Maria",Günther-Brauer,Maria,Frau,,Günther-Brauer Maria
"Günther, Karoline",Günther,Karoline,,,Günther Karoline
"Günther, Leontine",Günther,Leontine,,,Günther Leontine
Günther v. Freiberg,Günther v. Freiberg,,,,Günther v. Freiberg 
"Günther, Frau Juliane",Günther,Juliane,Frau,,Günther Juliane
"Günther, Juliane",Günther,Juliane,,,Günther Juliane
"Günther, Maria",Günther,Maria,,,Günther Maria
"Guenther, Paula u. C. Benda",Guenther,u. Benda C. Paula,,,Guenther u. Benda C. Paula
"Günz, Marie u. A. Dick",Günz,u. Dick Marie A.,,,Günz u. Dick Marie A.
"Günzler-Stotz, Charlotte",Günzler-Stotz,Charlotte,,,Günzler-Stotz Charlotte
"Gürnth, Christine Dorothea",Gürnth,Dorothea Christine,,,Gürnth Dorothea Christine
"Gurschner, Alice",Gurschner,Alice,,,Gurschner Alice
"Gurwitsch, Sophie",Gurwitsch,Sophie,,,Gurwitsch Sophie
"Gustava, Augusta",Gustava,Augusta,,,Gustava Augusta
"Gutbier, Frau Luise Jeanette",Gutbier,Jeanette Luise,Frau,,Gutbier Jeanette Luise
"Gutfeldt, Ina",Gutfeldt,Ina,,,Gutfeldt Ina
"Güthner, Frau Nina",Güthner,Nina,Frau,,Güthner Nina
"Güthner, Nina",Güthner,Nina,,,Güthner Nina
"Gutmann, Dora",Gutmann,Dora,,,Gutmann Dora
"Guttmann, Emma",Guttmann,Emma,,,Guttmann Emma
"Gutwit, Anna",Gutwit,Anna,,,Gutwit Anna
"Guźkowski, Elisabeth",Guźkowski,Elisabeth,,,Guźkowski Elisabeth
"Gyarmathy, Etelka v",Gyarmathy,Etelka,,v,Gyarmathy Etelka
"Gysel-Hallauer, Frau Bertha",Gysel-Hallauer,Bertha,Frau,,Gysel-Hallauer Bertha
"Haag, Ella, Frau",Haag,Frau,,,Haag Frau
"Haag, Ella",Haag,Ella,,,Haag Ella
"Haardt, J",Haardt,J,,,Haardt J
"Haas, Louise Charlotte",Haas,Charlotte Louise,,,Haas Charlotte Louise
"Haass, Frl. Maria Catharina",Haass,Catharina Maria,Frl.,,Haass Catharina Maria
"Haberkern, Frau Hedwig",Haberkern,Hedwig,Frau,,Haberkern Hedwig
"Haberkern, Hedwig",Haberkern,Hedwig,,,Haberkern Hedwig
"Habermann, Auguste",Habermann,Auguste,,,Habermann Auguste
"Habermann, Freifrl. Mathilde v",Habermann,Mathilde,Freifrl.,v,Habermann Mathilde
"Hackenschmidt, Frau Pfarrer Ch",Hackenschmidt,Ch,Frau Pfarrer,,Hackenschmidt Ch
"Häcker, Clara",Häcker,Clara,,,Häcker Clara
"Häcker, Frl. Hermine",Häcker,Hermine,Frl.,,Häcker Hermine
"Hadeln, Maria von",Hadeln,Maria,,von,Hadeln Maria
"Hadian, St",Hadian,St,,,Hadian St
"Haemmerli-Marti, Sofie",Haemmerli-Marti,Sofie,,,Haemmerli-Marti Sofie
"Haertel, Wilhelmine",Haertel,Wilhelmine,,,Haertel Wilhelmine
"Hagedorn, Anna Maria v",Hagedorn,Anna Maria,,v,Hagedorn Anna Maria
"Hagemann, Henriette",Hagemann,Henriette,,,Hagemann Henriette
"Hagemeister, Margarethe",Hagemeister,Margarethe,,,Hagemeister Margarethe
"Hagen, Frau Dr. Anna",Hagen,Anna,Dr. Frau,,Hagen Anna
"Hagen, Clara",Hagen,Clara,,,Hagen Clara
"Hagen, Ilse van der",Hagen,Ilse,,van der,Hagen Ilse
"Hagen, Frl. Luise",Hagen,Luise,Frl.,,Hagen Luise
"Hagen, M. v",Hagen,M.,,v,Hagen M.
"Hagen, Marie",Hagen,Marie,,,Hagen Marie
"Hagenburg-Hiecke, Marie",Hagenburg-Hiecke,Marie,,,Hagenburg-Hiecke Marie
"Hagenstein, Marie",Hagenstein,Marie,,,Hagenstein Marie
"Hahn, Frau Alice v",Hahn,Alice,Frau,v,Hahn Alice
"Hahn, Frau Amelie",Hahn,Amelie,Frau,,Hahn Amelie
"Hahn, Frau Clara",Hahn,Clara,Frau,,Hahn Clara
"Hahn, Franziska",Hahn,Franziska,,,Hahn Franziska
"Hahn-Hahn, Gräfin Ida Marie Luise Sophie Friederike Gustava",Hahn-Hahn,Luise Sophie Marie Ida Gustava Friederike,Gräfin,,Hahn-Hahn Luise Sophie Marie Ida Gustava Friederike
"Hahn-Hahn, Gräfin Ida",Hahn-Hahn,Ida,Gräfin,,Hahn-Hahn Ida
"Hahn, Helena",Hahn,Helena,,,Hahn Helena
"Hahn, Magarethe",Hahn,Magarethe,,,Hahn Magarethe
"Hahn, Marie Christiane Elise",Hahn,Marie Christiane Elise,,,Hahn Marie Christiane Elise
"Hahn, R. Edm",Hahn,Edm R.,,,Hahn Edm R.
"Haid, C",Haid,C,,,Haid C
"Haidheim, L",Haidheim,L,,,Haidheim L
"Haidheim, L",Haidheim,L,,,Haidheim L
"Hainberg, E",Hainberg,E,,,Hainberg E
"Hainisch, Marianne",Hainisch,Marianne,,,Hainisch Marianne
"Hainzendorf, K",Hainzendorf,K,,,Hainzendorf K
"Halada, Anna Helene von",Halada,Helene Anna,,von,Halada Helene Anna
"Halbach-Bohlen, Frl. Juliet",Halbach-Bohlen,Juliet,Frl.,,Halbach-Bohlen Juliet
"Halben, Nora M",Halben,Nora M,,,Halben Nora M
"Halbfass, Nora",Halbfass,Nora,,,Halbfass Nora
"Halbreiter, Marie",Halbreiter,Marie,,,Halbreiter Marie
"Halden, Elisabeth",Halden,Elisabeth,,,Halden Elisabeth
"Halden, Elisabeth",Halden,Elisabeth,,,Halden Elisabeth
"Halein, Kath. Rosa Gabriele",Halein,Gabriele Rosa Kath.,,,Halein Gabriele Rosa Kath.
"Halfmann, Frau Dr. Martha",Halfmann,Martha,Dr. Frau,,Halfmann Martha
"Halka, Alexander",Halka,Alexander,,,Halka Alexander
"Hall, Albertine",Hall,Albertine,,,Hall Albertine
"Hall, Mrs. Charles",Hall,Charles,Mrs.,,Hall Charles
"Hall, Clara",Hall,Clara,,,Hall Clara
"Hallauer, Bertha",Hallauer,Bertha,,,Hallauer Bertha
"Hallberg, Emilie Emma von",Hallberg,Emilie Emma,,von,Hallberg Emilie Emma
"Halle, Henriette v",Halle,Henriette,,v,Halle Henriette
"Haller, Christine",Haller,Christine,,,Haller Christine
"Haller, Eva",Haller,Eva,,,Haller Eva
"Hallervorden, Julie",Hallervorden,Julie,,,Hallervorden Julie
"Hallin, Olga",Hallin,Olga,,,Hallin Olga
"Halm, Anna",Halm,Anna,,,Halm Anna
"Halm, Auguste",Halm,Auguste,,,Halm Auguste
"Halm, Elise",Halm,Elise,,,Halm Elise
"Halm, Margarethe",Halm,Margarethe,,,Halm Margarethe
"Halmy, Marie",Halmy,Marie,,,Halmy Marie
"Halperin, Rebecca",Halperin,Rebecca,,,Halperin Rebecca
"Haltmeyer, L",Haltmeyer,L,,,Haltmeyer L
"Halwig, O",Halwig,O,,,Halwig O
"Hamacher, Frl. Agnes",Hamacher,Agnes,Frl.,,Hamacher Agnes
Hamada,Hamada,,,,Hamada 
"Hamann, Frl. E. M",Hamann,M E.,Frl.,,Hamann M E.
"Hammer-Stein, M. von",Hammer-Stein,M.,,von,Hammer-Stein M.
"Hammerstein, Luise, Freifrau von",Hammerstein,Luise,Freifrau,von,Hammerstein Luise
"Hanauer, Augusta",Hanauer,Augusta,,,Hanauer Augusta
"Hancks, Henriette",Hancks,Henriette,,,Hancks Henriette
"Handel-Mazzetti, Freiin Enrica v",Handel-Mazzetti,Enrica,Freiin,v,Handel-Mazzetti Enrica
"Handel, Freiin Victorine von",Handel,Victorine,Freiin,von,Handel Victorine
"Händel-Schütz, Rosine",Händel-Schütz,Rosine,,,Händel-Schütz Rosine
"Handen, Emma",Handen,Emma,,,Handen Emma
"Hanebuth, Th",Hanebuth,Th,,,Hanebuth Th
"Hänel, Maria Erdmuthe Benigna",Hänel,Erdmuthe Benigna Maria,,,Hänel Erdmuthe Benigna Maria
"Hanke, Henr. Wilh",Hanke,Wilh Henr.,,,Hanke Wilh Henr.
"Hann, Pauline",Hann,Pauline,,,Hann Pauline
"Hanneken, Minette v",Hanneken,Minette,,v,Hanneken Minette
"Hanoum, Kerimée",Hanoum,Kerimée,,,Hanoum Kerimée
"Hansgirg, Franziska",Hansgirg,Franziska,,,Hansgirg Franziska
"Hansgirg, Therese von",Hansgirg,Therese,,von,Hansgirg Therese
"Hansson-Marholm, Laura",Hansson-Marholm,Laura,,,Hansson-Marholm Laura
"Hanstein, Lucie von",Hanstein,Lucie,,von,Hanstein Lucie
"Hanstein, Marie von",Hanstein,Marie,,von,Hanstein Marie
"Harald, M",Harald,M,,,Harald M
"Harbou, Frl. Marie v",Harbou,Marie,Frl.,v,Harbou Marie
"Hardenberg, Henriette Luise Juliane",Hardenberg,Henriette Luise Juliane,,,Hardenberg Henriette Luise Juliane
"Hardenberg, Magda",Hardenberg,Magda,,,Hardenberg Magda
"Hardenberg, Sophie v",Hardenberg,Sophie,,v,Hardenberg Sophie
"Harder, Frl. Agnes",Harder,Agnes,Frl.,,Harder Agnes
"Harder, Frau Pauline v",Harder,Pauline,Frau,v,Harder Pauline
"Harding, Emily u. R. Hertwig",Harding,u. Hertwig R. Emily,,,Harding u. Hertwig R. Emily
"Hardt-Stummer, Baronin Amalia Crescentia",Hardt-Stummer,Amalia Crescentia,Baronin,,Hardt-Stummer Amalia Crescentia
"Härlin, Schulvorsteherin Emma",Härlin,Emma,Schulvorsteherin,,Härlin Emma
"Harms, Emilie",Harms,Emilie,,,Harms Emilie
"Harms, E. M",Harms,M E.,,,Harms M E.
"Harnisch, Lina",Harnisch,Lina,,,Harnisch Lina
"Harrer, Marie",Harrer,Marie,,,Harrer Marie
Harriet,Harriet,,,,Harriet 
"Hart, Helmine",Hart,Helmine,,,Hart Helmine
"Hartdegen, Frl. Luise",Hartdegen,Luise,Frl.,,Hartdegen Luise
"Härtel, Wilhelmine",Härtel,Wilhelmine,,,Härtel Wilhelmine
"Harten, Angelika",Harten,Angelika,,,Harten Angelika
"Hartenstein, Anna",Hartenstein,Anna,,,Hartenstein Anna
"Hartl-Mitius, Frau Philomena",Hartl-Mitius,Philomena,Frau,,Hartl-Mitius Philomena
"Hartlieb, Sophie Louise v",Hartlieb,Louise Sophie,,v,Hartlieb Louise Sophie
"Hartmann, Anna",Hartmann,Anna,,,Hartmann Anna
"Hartmann, Linda",Hartmann,Linda,,,Hartmann Linda
"Hartmann, Mignon",Hartmann,Mignon,,,Hartmann Mignon
"Hartner, Eva",Hartner,Eva,,,Hartner Eva
"Hartog, Marie",Hartog,Marie,,,Hartog Marie
"Hartog zur Megede, Marie",Hartog zur Megede,Marie,,,Hartog zur Megede Marie
"Hartschmidt, M",Hartschmidt,M,,,Hartschmidt M
"Hartwig, Caroline",Hartwig,Caroline,,,Hartwig Caroline
"Hartwig, Gg",Hartwig,Gg,,,Hartwig Gg
"Haselich, Charlotte",Haselich,Charlotte,,,Haselich Charlotte
"Hasenclever, Frau Sophie",Hasenclever,Sophie,Frau,,Hasenclever Sophie
"Hasert, Frl. Ernestine",Hasert,Ernestine,Frl.,,Hasert Ernestine
"Hasper, Elise",Hasper,Elise,,,Hasper Elise
"Hasselbach, Frl. Anna",Hasselbach,Anna,Frl.,,Hasselbach Anna
"Hatzfeldt, Gräfin Sophie",Hatzfeldt,Sophie,Gräfin,,Hatzfeldt Sophie
"Hätzlerin, Klara",Hätzlerin,Klara,,,Hätzlerin Klara
"Hauck, Minnie",Hauck,Minnie,,,Hauck Minnie
"Haufe, Frau Ella",Haufe,Ella,Frau,,Haufe Ella
"Haug, Frl. Maria",Haug,Maria,Frl.,,Haug Maria
"Haugwitz, Gräfin Kathinka von",Haugwitz,Kathinka,Gräfin,von,Haugwitz Kathinka
"Haugwitz, Luise v",Haugwitz,Luise,,v,Haugwitz Luise
"Haugwitz, Frau Marie v",Haugwitz,Marie,Frau,v,Haugwitz Marie
"Haupt, Antonie",Haupt,Antonie,,,Haupt Antonie
"Haupt, Frau Marie",Haupt,Marie,Frau,,Haupt Marie
"Haupt, Frl. Rudolfine",Haupt,Rudolfine,Frl.,,Haupt Rudolfine
"Haupt, Frl. Therese",Haupt,Therese,Frl.,,Haupt Therese
"Haupt, W",Haupt,W,,,Haupt W
"Hauschner, Auguste",Hauschner,Auguste,,,Hauschner Auguste
"Hauser, Ida",Hauser,Ida,,,Hauser Ida
"Hauser-Edel, Frau Caroline",Hauser-Edel,Caroline,Frau,,Hauser-Edel Caroline
Hausfrau,Hausfrau,,,,Hausfrau 
Hausfrau,Hausfrau,,,,Hausfrau 
"Häusser, Caroline",Häusser,Caroline,,,Häusser Caroline
"Hausser, Marie",Hausser,Marie,,,Hausser Marie
"Häussler-Schweizer, Frau Marie",Häussler-Schweizer,Marie,Frau,,Häussler-Schweizer Marie
"Haussmann, Baronin Selma",Haussmann,Selma,Baronin,,Haussmann Selma
"Hautzinger, Amelie",Hautzinger,Amelie,,,Hautzinger Amelie
"Haverland, Anna",Haverland,Anna,,,Haverland Anna
"Haxthausen, Freifrl. Antonie v",Haxthausen,Antonie,Freifrl.,v,Haxthausen Antonie
"Haydn, J",Haydn,J,,,Haydn J
"Hayek, Katharina Edle v",Hayek,Katharina,Edle,v,Hayek Katharina
"Haymer, Magdalena aus Augsburg",Haymer,Magdalena,,aus Augsburg,Haymer Magdalena
"Haymann, Frau Max",Haymann,Max,Frau,,Haymann Max
"Heaton-Armstrong, B. L",Heaton-Armstrong,L B.,,,Heaton-Armstrong L B.
"Heber, Henriette",Heber,Henriette,,,Heber Henriette
"Hecht-Cserhalmi, Irene",Hecht-Cserhalmi,Irene,,,Hecht-Cserhalmi Irene
"Heddin, Rob",Heddin,Rob,,,Heddin Rob
"Hedwig, Tante",Hedwig,Tante,,,Hedwig Tante
"Heerwart, Frl. Eleonore",Heerwart,Eleonore,Frl.,,Heerwart Eleonore
"Heerwart, Eleonore",Heerwart,Eleonore,,,Heerwart Eleonore
"Hehl, Franziska",Hehl,Franziska,,,Hehl Franziska
"Hehn, Friederike",Hehn,Friederike,,,Hehn Friederike
"Heiberg, Asta",Heiberg,Asta,,,Heiberg Asta
"Heidfeld, Marianne",Heidfeld,Marianne,,,Heidfeld Marianne
"Heidemann, Elis",Heidemann,Elis,,,Heidemann Elis
"Heiden, A",Heiden,A,,,Heiden A
"Heiden, E",Heiden,E,,,Heiden E
"Heiden, Nanny",Heiden,Nanny,,,Heiden Nanny
"Heidsieck, Frl. Antonie",Heidsieck,Antonie,Frl.,,Heidsieck Antonie
"Heim, Adele",Heim,Adele,,,Heim Adele
"Heim, Charlotte",Heim,Charlotte,,,Heim Charlotte
"Heim, Else",Heim,Else,,,Heim Else
"Heim, Lehrerin Sophie",Heim,Sophie,Lehrerin,,Heim Sophie
"Heimburg, W",Heimburg,W,,,Heimburg W
"Heincke, Ida",Heincke,Ida,,,Heincke Ida
"Heine, Anselm",Heine,Anselm,,,Heine Anselm
"Heine, Frl. Selma",Heine,Selma,Frl.,,Heine Selma
"Heine, Frl. Emma",Heine,Emma,Frl.,,Heine Emma
"Heinrich, Elisabeth",Heinrich,Elisabeth,,,Heinrich Elisabeth
"Heinrich, Johanne Christiane",Heinrich,Johanne Christiane,,,Heinrich Johanne Christiane
"Heinrichs, Adeline",Heinrichs,Adeline,,,Heinrichs Adeline
"Heinrichs, Frau Emilie",Heinrichs,Emilie,Frau,,Heinrichs Emilie
"Heinrichs, Emilie",Heinrichs,Emilie,,,Heinrichs Emilie
"Heinz, T. v",Heinz,T.,,v,Heinz T.
"Heinze, Frau Anna",Heinze,Anna,Frau,,Heinze Anna
"Heinze, Frieda",Heinze,Frieda,,,Heinze Frieda
"Heinzerling, Caroline",Heinzerling,Caroline,,,Heinzerling Caroline
"Heisterbergk, Konstanze",Heisterbergk,Konstanze,,,Heisterbergk Konstanze
"Heiter, Amalie",Heiter,Amalie,,,Heiter Amalie
"Heitmann, Mathilde",Heitmann,Mathilde,,,Heitmann Mathilde
"Helbling, Anna",Helbling,Anna,,,Helbling Anna
"Held-Marbach, Klara",Held-Marbach,Klara,,,Held-Marbach Klara
"Helder, Ernst",Helder,Ernst,,,Helder Ernst
"Heldern, Toni",Heldern,Toni,,,Heldern Toni
"Helding, Lina",Helding,Lina,,,Helding Lina
"Heldt, E",Heldt,E,,,Heldt E
"Helena, Dilia",Helena,Dilia,,,Helena Dilia
"Helfenbein, Frl. Luise",Helfenbein,Luise,Frl.,,Helfenbein Luise
